experiment_id,theta,seed,condition,noise_strength,kl,js,tv,entropy,l1,utility,action
369,2.356194490192345,3,low,0.02,0.27430962212473314,0.004827062252011136,0.019163720462853334,1.9842353708127258,0.03832744092570667,-0.019163720462853334,IGNORE
370,2.356194490192345,3,medium,0.08,1.1719142932505848,0.019498139283989777,0.05493164062500003,2.262710941709698,0.10986328125000006,-0.05493164062500003,IGNORE
371,2.356194490192345,3,high,0.2,3.0547241719800344,0.0501754227590119,0.13720703125000003,2.679397590655575,0.27441406250000006,-0.13720703125000003,IGNORE
372,2.356194490192345,4,low,0.02,0.360208046713282,0.006242774662550361,0.017822265625000028,2.0147545890074126,0.035644531250000056,-0.017822265625000028,IGNORE
373,2.356194490192345,4,medium,0.08,1.4114949965029098,0.023329539390921663,0.06567382812500003,2.3209424427229797,0.13134765625000006,-0.06567382812500003,IGNORE
374,2.356194490192345,4,high,0.2,3.5049717014709234,0.057970109690380425,0.15649414062500003,2.782591277116765,0.31298828125000006,-0.15649414062500003,IGNORE
375,2.356194490192345,5,low,0.02,0.2645888828032504,0.004643918820434944,0.015989892337853334,1.9850019660364335,0.03197978467570667,-0.015989892337853334,IGNORE
376,2.356194490192345,5,medium,0.08,1.1996947989022346,0.0199308166855323,0.05615234375000003,2.271736591280815,0.11230468750000006,-0.05615234375000003,IGNORE
377,2.356194490192345,5,high,0.2,3.3033270633532075,0.05430135568314007,0.14794921875000003,2.7297718653940612,0.29589843750000006,-0.14794921875000003,IGNORE
378,2.356194490192345,6,low,0.02,0.30363111365068113,0.005347139796661947,0.016357421875,1.9949258414136533,0.03271484375,-0.016357421875,IGNORE
379,2.356194490192345,6,medium,0.08,1.2965522172048707,0.021514422719283104,0.06054687500000003,2.2932352771789244,0.12109375000000006,-0.06054687500000003,IGNORE
380,2.356194490192345,6,high,0.2,3.187794020853124,0.05257650604095539,0.14282226562500003,2.718070949013206,0.28564453125000006,-0.14282226562500003,IGNORE
381,2.356194490192345,7,low,0.02,0.18183166520484362,0.003243662721749546,0.011351220462853334,1.948679898018283,0.02270244092570667,-0.011351220462853334,IGNORE
382,2.356194490192345,7,medium,0.08,1.0230337084686643,0.01705589834136697,0.04833984375000003,2.223234679141332,0.09667968750000006,-0.04833984375000003,IGNORE
383,2.356194490192345,7,high,0.2,3.2122995129225593,0.05299167046735751,0.14404296875000003,2.7253726447068276,0.28808593750000006,-0.14404296875000003,IGNORE
384,2.356194490192345,8,low,0.02,0.2675521132993782,0.004686844981059046,0.013427734375000028,1.9830027218705488,0.026855468750000056,-0.013427734375000028,IGNORE
385,2.356194490192345,8,medium,0.08,1.1756129781778906,0.01952012601479198,0.05517578125000003,2.2622301809757133,0.11035156250000006,-0.05517578125000003,IGNORE
386,2.356194490192345,8,high,0.2,3.47797377368353,0.05720279451810585,0.15527343750000003,2.7566370469998454,0.31054687500000006,-0.15527343750000003,IGNORE
387,2.356194490192345,9,low,0.02,0.34559847122069953,0.0061429493624600125,0.026732079837853334,1.9986950110548036,0.05346415967570667,-0.026732079837853334,IGNORE
388,2.356194490192345,9,medium,0.08,1.3843536341941323,0.023004863077433435,0.06445312500000003,2.3039010245161435,0.12890625000000006,-0.06445312500000003,IGNORE
389,2.356194490192345,9,high,0.2,3.7641118049701774,0.061974536919960695,0.16748046875000003,2.8106886023415196,0.33496093750000006,-0.16748046875000003,IGNORE
390,2.552544031041707,0,low,0.02,0.23736537489068937,0.004254241051800746,0.019529813375660163,1.8088435823194895,0.039059626751320325,-0.019529813375660163,IGNORE
391,2.552544031041707,0,medium,0.08,1.121743243173897,0.018843829045592106,0.05834817275066016,2.1016877521638624,0.11669634550132033,-0.05834817275066016,IGNORE
392,2.552544031041707,0,high,0.2,3.363636395270913,0.055977130853522086,0.1520988910628301,2.625390386119301,0.3041977821256602,-0.1520988910628301,IGNORE
393,2.552544031041707,1,low,0.02,0.32401334910584,0.005737725285934553,0.02197265625,1.8315063493989912,0.0439453125,-0.02197265625,IGNORE
394,2.552544031041707,1,medium,0.08,1.3501949465503542,0.022539914345895768,0.06591725043783009,2.1536343857176012,0.13183450087566018,-0.06591725043783009,IGNORE
395,2.552544031041707,1,high,0.2,3.093038182120262,0.05101470739830263,0.138916015625,2.549219107751007,0.27783203125,-0.138916015625,IGNORE
396,2.552544031041707,2,low,0.02,0.28921312115990055,0.005194511616980343,0.02343678168783009,1.8195686758200644,0.04687356337566018,-0.02343678168783009,IGNORE
397,2.552544031041707,2,medium,0.08,1.2538034399206095,0.02100820581913399,0.06616139106283009,2.1274808463203403,0.13232278212566018,-0.06616139106283009,IGNORE
398,2.552544031041707,2,high,0.2,3.3349365979855436,0.05567368594886095,0.1535637348128301,2.6262001598620928,0.3071274696256602,-0.1535637348128301,IGNORE
399,2.552544031041707,3,low,0.02,0.2742970794711139,0.004823967321794551,0.018311265187169926,1.797656731624346,0.03662253037433985,-0.018311265187169926,IGNORE
400,2.552544031041707,3,medium,0.08,1.166576650072897,0.019429497904569413,0.054687500000000014,2.089604470349773,0.10937500000000003,-0.054687500000000014,IGNORE
401,2.552544031041707,3,high,0.2,3.0497704600282343,0.05026686752322276,0.136962890625,2.5357428676244202,0.27392578125,-0.136962890625,IGNORE
402,2.552544031041707,4,low,0.02,0.31425183457625316,0.005607909521707648,0.024412625875660163,1.8419226746362187,0.048825251751320325,-0.024412625875660163,IGNORE
403,2.552544031041707,4,medium,0.08,1.3460106034008823,0.022540155584533084,0.06884693793783009,2.162714729241137,0.13769387587566018,-0.06884693793783009,IGNORE
404,2.552544031041707,4,high,0.2,3.3629863202766295,0.055701436223668604,0.1520988910628301,2.6111556866815335,0.3041977821256602,-0.1520988910628301,IGNORE
405,2.552544031041707,5,low,0.02,0.24841497272070096,0.004374643522806958,0.012451171875000014,1.7824801405277055,0.024902343750000028,-0.012451171875000014,IGNORE
406,2.552544031041707,5,medium,0.08,1.1601147639806724,0.019274758110331625,0.054443359375000014,2.0797536517916138,0.10888671875000003,-0.054443359375000014,IGNORE
407,2.552544031041707,5,high,0.2,3.2817833010969535,0.053975433645159394,0.14697265625,2.573132304102411,0.2939453125,-0.14697265625,IGNORE
408,2.552544031041707,6,low,0.02,0.3036388498618437,0.005349021748338145,0.01757740668783009,1.8091334877053216,0.03515481337566018,-0.01757740668783009,IGNORE
409,2.552544031041707,6,medium,0.08,1.2911582792743812,0.021452796131809716,0.06152271918783009,2.1227279437684525,0.12304543837566018,-0.06152271918783009,IGNORE
410,2.552544031041707,6,high,0.2,3.1894921561355227,0.05302041808160935,0.1455070941878301,2.5862466446812977,0.2910141883756602,-0.1455070941878301,IGNORE
411,2.552544031041707,7,low,0.02,0.1818064541532338,0.003237336636267278,0.010010483937169926,1.7615403931295828,0.02002096787433985,-0.010010483937169926,IGNORE
412,2.552544031041707,7,medium,0.08,1.0230769872378462,0.017066966567440972,0.048339843750000014,2.050638371980512,0.09667968750000003,-0.048339843750000014,IGNORE
413,2.552544031041707,7,high,0.2,3.219108968771172,0.05337461370550709,0.1467277973128301,2.5886565647319353,0.2934555946256602,-0.1467277973128301,IGNORE
414,2.552544031041707,8,low,0.02,0.2675400786615079,0.004683814450798849,0.013427734375000014,1.7947341990661139,0.026855468750000028,-0.013427734375000014,IGNORE
415,2.552544031041707,8,medium,0.08,1.1756223929839749,0.019522505030995778,0.055175781250000014,2.0883489421028125,0.11035156250000003,-0.055175781250000014,IGNORE
416,2.552544031041707,8,high,0.2,3.484342363827273,0.057454569348353975,0.155517578125,2.61546289146174,0.31103515625,-0.155517578125,IGNORE
417,2.552544031041707,9,low,0.02,0.3508647333609548,0.0061674683164759025,0.02465748481283009,1.845284568646353,0.04931496962566018,-0.02465748481283009,IGNORE
418,2.552544031041707,9,medium,0.08,1.4179002320793495,0.023620931680711305,0.07128834418783009,2.171700428297952,0.14257668837566018,-0.07128834418783009,IGNORE
419,2.552544031041707,9,high,0.2,3.782575417287779,0.062265651331105044,0.168212890625,2.6593062998095123,0.33642578125,-0.168212890625,IGNORE
420,2.748893571891069,0,low,0.02,0.27808445406175186,0.004904504628406929,0.016845703125,1.5497280591290092,0.03369140625,-0.016845703125,IGNORE
421,2.748893571891069,0,medium,0.08,1.1226246446489274,0.019060638217619635,0.0644076109368528,1.8811257809986266,0.1288152218737056,-0.0644076109368528,IGNORE
422,2.748893571891069,0,high,0.2,3.3672575780479894,0.05688110514362463,0.1688997984368528,2.4490885870356047,0.3377995968737056,-0.1688997984368528,IGNORE
423,2.748893571891069,1,low,0.02,0.309545100020571,0.005562738420986903,0.022438180468426383,1.5887740158178973,0.044876360936852766,-0.022438180468426383,IGNORE
424,2.748893571891069,1,medium,0.08,1.3135185763916173,0.022168101416385255,0.0702669859368528,1.927487171093901,0.1405339718737056,-0.0702669859368528,IGNORE
425,2.748893571891069,1,high,0.2,3.0896662183432997,0.051511510526247986,0.1483919859368528,2.3654240620959057,0.2967839718737056,-0.1483919859368528,IGNORE
426,2.748893571891069,2,low,0.02,0.28914030581880723,0.0051748587734934,0.020973336718426383,1.5736707628653197,0.041946673436852766,-0.020973336718426383,IGNORE
